,mitocore,293,mitoparp,293 + high NAD,mitoparp + high NAD,293 + low NAD,mitoparp + low NAD,full_name
mercplac_c,-0.987784248653814,0.0,0.0,0.0,0.0,0.0,0.0,3-Mercaptolactate (c)
mercplac_e,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,3-Mercaptolactate (e)
mercppyr_c,0.0,-0.9907202081115125,-0.9907202081115123,-0.9907202081115125,-0.9907202081115125,0.9999999999999991,-1.675681075681076,Mercaptopyruvate (c)
mercppyr_m,0.0,-0.9907202081115125,-0.9907202081115123,-0.9907202081115124,-0.9907202081115125,0.9513513513513505,-1.675681075681076,Mercaptopyruvate (m)
mercppyr_c,-0.9907202081115125,0.0,0.0,0.0,0.0,0.0,0.0,Mercaptopyruvate (c)
mercppyr_m,-0.9907202081115125,0.0,0.0,0.0,0.0,0.0,0.0,Mercaptopyruvate (m)
met_L_c,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,L-Methionine (c)
met_L_m,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,L-Methionine (m)
met_L_c,2.2156290243246772,0.0,0.0,0.0,0.0,0.0,0.0,L-Methionine (c)
met_L_e,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,L-Methionine (e)
met_L_m,2.2156290243246772,0.0,0.0,0.0,0.0,0.0,0.0,L-Methionine (m)
methf_c,0.0,-0.0,0.11327890675716762,0.0,0.0,0.0,0.0,"5,10-Methenyltetrahydrofolate (c)"
methf_m,0.0,-0.82115510811163,-0.82115510811163,-0.5081081081081082,0.0,-0.5081081081081082,0.0,"5,10-Methenyltetrahydrofolate (m)"
methf_c,0.21868566216392327,0.0,0.0,0.0,0.0,0.0,0.0,"5,10-Methenyltetrahydrofolate (c)"
methf_m,-0.8211551081116304,0.0,0.0,0.0,0.0,0.0,0.0,"5,10-Methenyltetrahydrofolate (m)"
mlthf_c,0.0,-0.21868566216392282,0.0,-0.21868566216392343,-0.11327890675716767,0.7297310797310798,0.072972972972973,"5,10-Methylenetetrahydrofolate (c)"
mlthf_m,0.0,-0.7504183243313673,-0.5396048135178569,-0.437371324327847,0.2815502945937729,1.4594621594621595,0.6540540540540544,"5,10-Methylenetetrahydrofolate (m)"
mlthf_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"5,10-Methylenetetrahydrofolate (c)"
mlthf_m,-0.7504183243313687,0.0,0.0,0.0,0.0,0.0,0.0,"5,10-Methylenetetrahydrofolate (m)"
mmcoa_R_m,0.0,-0.8663904837817881,-0.46873925134794747,-0.8663904837817882,-1.277086016216452,7.362178362178363,-14.200021600021605,(R)-Methylmalonyl-CoA (m)
mmcoa_R_m,0.7170420648681521,0.0,0.0,0.0,0.0,0.0,0.0,(R)-Methylmalonyl-CoA (m)
mmcoa_S_m,0.0,0.5346686216251434,-0.46873925134794747,0.5346686216251435,-1.277086016216452,11.681102681102683,-14.200021600021605,(S)-Methylmalonyl-CoA (m)
mmcoa_S_m,0.7170420648681521,0.0,0.0,0.0,0.0,0.0,0.0,(S)-Methylmalonyl-CoA (m)
msa_m,0.0,-0.9907202081115125,0.0,0.4889559324341932,0.0,1.6486540486540484,0.0,3-Oxopropanoate (m)
msa_m,-0.9907202081115125,0.0,0.0,0.0,0.0,0.0,0.0,3-Oxopropanoate (m)
mthgxl_m,0.0,-1.2580545189240842,-0.0,-1.2580545189240842,0.0,-1.745951345951347,0.0,Methylglyoxal (m)
mthgxl_m,-6.555362616232182,0.0,0.0,0.0,0.0,0.0,0.0,Methylglyoxal (m)
myrsACP_c,0.0,-0.21868566216392282,-0.15103854234289016,-0.0,-0.11327890675716767,-0.0,0.072972972972973,Myristoyl-ACP (c)
myrsACP_c,-0.21868566216392327,0.0,0.0,0.0,0.0,0.0,0.0,Myristoyl-ACP (c)
n4abutn_m,0.0,-1.2940155027111557,-5.629035359470142,-8.321053329748981,-5.6290353594701426,-23.51896751896752,-2.8162216162216174,N4-Acetylaminobutanal (m)
n4abutn_m,-8.321053329748981,0.0,0.0,0.0,0.0,0.0,0.0,N4-Acetylaminobutanal (m)
nad_c,0.0,-0.0029359594576985337,-0.002935959457698978,-0.0029359594576985337,-0.0029359594576980896,1.6973026973026983,2.427032427032428,NAD (c)
nad_m,0.0,0.2673343108125717,0.26733431081257164,0.26733431081257175,0.26733431081257164,2.6973026973026974,2.697302697302698,NAD (m)
nad_c,-0.0029359594576985337,0.0,0.0,0.0,0.0,0.0,0.0,NAD (c)
nad_e,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,NAD (e)
nad_m,0.26733431081257186,0.0,0.0,0.0,0.0,0.0,0.0,NAD (m)
nadh_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NADH (c)
nadh_m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NADH (m)
nadh_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NADH (c)
nadh_e,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,NADH (e)
nadh_m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NADH (m)
nadp_c,0.0,0.21868566216392282,0.11327890675716762,0.21868566216392343,0.11327890675716767,-0.7297310797310798,-0.072972972972973,NADP (c)
nadp_m,0.0,0.26733431081257164,0.26733431081257164,0.26733431081257175,0.26733431081257164,2.6973026973026974,2.697302697302698,NADP (m)
nadp_c,0.21868566216392327,0.0,0.0,0.0,0.0,0.0,0.0,NADP (c)
nadp_m,0.26733431081257186,0.0,0.0,0.0,0.0,0.0,0.0,NADP (m)
nadph_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NADPH (c)
